"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1603",NA,NA,NA,"195 000 Ft/hó",NA,"Endre utca"," X. kerület","83 m² terület","3 szoba",NA
"1604",NA,NA,NA,"200 000 Ft/hó",NA,"Mérleg utca"," V. kerület","78 m² terület","2 szoba",NA
"1605",NA,NA,NA,"180 000 Ft/hó",NA,"Dávid Ferenc utca"," XI. kerület","50 m² terület","3 szoba",NA
"1606",NA,NA,NA,"730 300 Ft/hó",NA,"Kútvölgy"," XII. kerület","110 m² terület","4 szoba",NA
"1607",NA,NA,NA,"365 150 Ft/hó",NA,"Lipótváros"," V. kerület","73 m² terület","2 szoba",NA
"1608","Csak szoba",NA,NA,"75 400 Ft/hó",NA,"Berzenczey utca 16-18"," IX. kerület","20 m² terület","1 szoba","10 m² erkély"
"1609",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Bogdáni út, III. kerület",NA,NA
"1610",NA,NA,NA,"190 000 Ft/hó",NA,"Párta köz"," XIII. kerület","54 m² terület","3 szoba","6 m² erkély"
"1611","Csak szoba",NA,NA,"80 000 Ft/hó",NA,"Háros utca"," XXII. kerület","20 m² terület","1 szoba","4 m² erkély"
"1612",NA,NA,NA,"280 000 Ft/hó",NA,"Anker köz"," VI. kerület","105 m² terület","3 + 1 fél szoba",NA
"1613",NA,NA,NA,"110 000 Ft/hó",NA,"Építők útja"," Pécs","56 m² terület","2 szoba",NA
"1614",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Munkás utca, VII. kerület",NA,NA
"1615",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Allende park, XI. kerület",NA,NA
"1616",NA,NA,NA,"35 000 Ft/hó",NA,"Ipar utca"," Győr","25 m² terület","1 szoba",NA
"1617",NA,NA,NA,"45 000 Ft/hó",NA,"Ipar utca"," Győr","12 m² terület","1 szoba",NA
"1618",NA,NA,NA,"130 000 Ft/hó",NA,"Thököly út"," XIV. kerület","21 m² terület","1 szoba",NA
"1619","Csak szoba",NA,NA,"40 000 Ft/hó",NA,"Batthyány utca"," Debrecen","12 m² terület","5 szoba",NA
"1620",NA,NA,NA,"200 000 Ft/hó",NA,"Csengery utca 10"," VI. kerület","85 m² terület","3 szoba",NA
"1621","Új építésű",NA,NA,"180 000 Ft/hó",NA,"Püspök utca"," Szeged","62 m² terület","3 szoba","10 m² erkély"
"1622",NA,NA,NA,"110 000 Ft/hó",NA,"Építők útja"," Pécs","56 m² terület","2 + 1 fél szoba",NA
"1623",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Honvéd utca, Kaposvár",NA,NA
"1624",NA,NA,NA,"280 000 Ft/hó",NA,"Baross Gábor út 2"," Balatonalmádi","76 m² terület","3 szoba","2 m² erkély"
"1625",NA,NA,NA,"190 000 Ft/hó",NA,"Felleg utca"," Debrecen","75 m² terület","2 + 1 fél szoba","7 m² erkély"
"1626",NA,NA,NA,"219 090 Ft/hó",NA,"Bajcsy-Zsilinszky út"," V. kerület","64 m² terület","1 szoba",NA
"1627",NA,NA,NA,"125 000 Ft/hó",NA,"Mogyoródi út"," XIV. kerület","35 m² terület","2 szoba",NA
"1628","Új építésű",NA,NA,"160 000 Ft/hó",NA,"Kondorosi út 117"," XI. kerület","36 m² terület","1 + 1 fél szoba","9 m² erkély"
"1629",NA,NA,NA,"159 000 Ft/hó",NA,"Vörösmarty utca"," VI. kerület","50 m² terület","2 szoba",NA
"1630",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Őz köz, Nyíregyháza",NA,NA
"1631","Csak szoba",NA,NA,"75 000 Ft/hó",NA,"Noszlopy utca"," X. kerület","13 m² terület","48 szoba",NA
"1632",NA,NA,NA,"90 000 Ft/hó",NA,"Baltazár Dezső utca"," Hajdúböszörmény","38 m² terület","1 szoba","2 m² erkély"
"1633",NA,NA,NA,"511 210 Ft/hó",NA,"Lipótváros"," V. kerület","130 m² terület","3 szoba",NA
"1634",NA,NA,NA,"105 000 Ft/hó",NA,"Dolgozó út"," XVIII. kerület","28 m² terület","1 szoba",NA
"1635",NA,NA,NA,"110 000 Ft/hó",NA,"Dunakeszi utca"," IV. kerület","36 m² terület","1 szoba",NA
"1636",NA,NA,NA,"130 000 Ft/hó",NA,"Csokonai Vitéz Mihály utca 5"," Komárom","55 m² terület","2 szoba",NA
"1637","Csak szoba",NA,NA,"40 000 Ft/hó",NA,"Zichy Ottó utca"," Győr","32 m² terület","1 szoba",NA
"1638","Új építésű",NA,NA,"160 000 Ft/hó",NA,"Zsinór utca"," XIII. kerület","44 m² terület","2 szoba","2 m² erkély"
"1639",NA,NA,NA,"438 180 Ft/hó",NA,"Falk Miksa utca"," V. kerület","88 m² terület","3 szoba",NA
"1640",NA,NA,NA,"266 560 Ft/hó",NA,"Kresz Géza utca"," XIII. kerület","68 m² terület","2 szoba",NA
"1641",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","220 000 Ft/hó",NA,"Garay utca 42, VII. kerület",NA,NA
"1642",NA,NA,NA,"140 000 Ft/hó",NA,"Vasúti villasor"," Szentendre","42 m² terület","1 + 1 fél szoba",NA
"1643",NA,NA,NA,"190 000 Ft/hó",NA,"Lipthay utca"," II. kerület","56 m² terület","2 szoba",NA
"1644",NA,NA,NA,"730 300 Ft/hó",NA,"Andrássy út"," VI. kerület","140 m² terület","4 szoba","5 m² erkély"
"1645",NA,NA,NA,"119 000 Ft/hó",NA,"Rákóczi utca 40"," Zamárdi","54 m² terület","2 + 2 fél szoba",NA
"1646",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","210 000 Ft/hó",NA,"Népfürdő utca 3, XIII. kerület",NA,NA
"1647",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Március 15. utca, Kecskemét",NA,NA
"1648",NA,NA,NA,"120 000 Ft/hó",NA,"Pünkösdfürdő utca"," III. kerület","23 m² terület","1 szoba","1 m² erkély"
"1649",NA,NA,NA,"120 000 Ft/hó",NA,"Egészségház utca"," XVII. kerület","59 m² terület","1 + 2 fél szoba",NA
"1650",NA,NA,NA,"524 900 Ft/hó",NA,"Diós árok"," XII. kerület","149 m² terület","3 + 1 fél szoba","49 m² erkély"
"1651",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Minerva utca, Szombathely",NA,NA
"1652",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Tanácsház utca, Siófok",NA,NA
"1653",NA,NA,NA,"180 000 Ft/hó",NA,"Földváry Károly tér"," Vác","85 m² terület","1 + 3 fél szoba","4 m² erkély"
"1654",NA,NA,NA,"353 010 Ft/hó",NA,"Lipótváros"," V. kerület","79 m² terület","3 szoba",NA
"1655",NA,NA,NA,"210 000 Ft/hó",NA,"Ötvös János utca"," II. kerület","50 m² terület","2 szoba","16 m² erkély"
"1656","Csak szoba",NA,NA,"140 000 Ft/hó",NA,"Dobozi utca 21"," VIII. kerület","20 m² terület","2 szoba",NA
"1657",NA,NA,NA,"858 103 Ft/hó",NA,"Aulich utca"," V. kerület","128 m² terület","4 szoba","3 m² erkély"
"1658",NA,NA,NA,"190 000 Ft/hó",NA,"Hunyadi tér"," VI. kerület","70 m² terület","2 szoba",NA
"1659",NA,NA,NA,"150 000 Ft/hó",NA,"Fő tér 5"," Siófok","41 m² terület","1 szoba",NA
"1660","Virtuális séta",NA,NA,"200 000 Ft/hó",NA,"Aranyeső utca 2-4."," Balatonfüred","54 m² terület","2 szoba","6 m² erkély"
"1661",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","169 000 Ft/hó",NA,"Nyugati tér, V. kerület",NA,NA
"1662",NA,NA,NA,"85 000 Ft/hó",NA,"Hűvösvölgyi út"," II. kerület","25 m² terület","1 szoba",NA
"1663",NA,NA,NA,"328 635 Ft/hó",NA,"Várkert rakpart"," I. kerület","50 m² terület","1 + 1 fél szoba",NA
"1664","Csak szoba",NA,NA,"90 000 Ft/hó",NA,"Karinthy Frigyes út"," XI. kerület","16 m² terület","1 szoba",NA
"1665",NA,NA,NA,"170 000 Ft/hó",NA,"Víziváros"," I. kerület","56 m² terület","2 szoba","4 m² erkély"
"1666",NA,NA,NA,"140 000 Ft/hó",NA,"Hutyra Ferenc utca"," VII. kerület","40 m² terület","1 szoba",NA
"1667",NA,NA,NA,"180 000 Ft/hó",NA,"Szigetszentmiklós"," Városközpont","76 m² terület","1 + 1 fél szoba",NA
"1668",NA,NA,NA,"290 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","64 m² terület","3 szoba",NA
"1669",NA,NA,NA,"198 000 Ft/hó",NA,"Kaszásdűlő utca"," III. kerület","51 m² terület","2 szoba","10 m² erkély"
"1670",NA,NA,NA,"200 000 Ft/hó",NA,"Herminamező"," XIV. kerület","125 m² terület","1 szoba","12 m² erkély"
"1671",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","95 000 Ft/hó",NA,"Rákóczi Ferenc utca, Miskolc",NA,NA
"1672","Új építésű"," Videó elérhető",NA,"1 278 025 Ft/hó",NA,"Törökvész út"," II. kerület","180 m² terület","6 szoba","107 m² erkély"
"1673",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Szedreskerti lakónegyed, Székesfehérvár",NA,NA
"1674",NA,NA,NA,"364 785 Ft/hó",NA,"Korányi fasor"," Szeged","82 m² terület","3 szoba","8 m² erkély"
"1675",NA,NA,NA,"584 240 Ft/hó",NA,"Bem rakpart"," II. kerület","81 m² terület","3 szoba","5 m² erkély"
"1676",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Tűzliliom utca, XXII. kerület",NA,NA
"1677",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Piac utca 22, Debrecen",NA,NA
"1678","Új építésű",NA,NA,"500 000 Ft/hó",NA,"Turóc utca 3"," XIII. kerület","110 m² terület","4 szoba","35 m² erkély"
"1679",NA,NA,NA,"324 000 Ft/hó",NA,"Lipótváros"," V. kerület","95 m² terület","2 szoba",NA
"1680",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Andrássy út, VI. kerület",NA,NA
"1681",NA,NA,NA,"195 000 Ft/hó",NA,"Somogyi utca 6"," Szeged","110 m² terület","3 szoba",NA
"1682",NA,NA,NA,"159 000 Ft/hó",NA,"Hercegprímás utca"," V. kerület","29 m² terület","1 szoba",NA
"1683",NA,NA,NA,"120 000 Ft/hó",NA,"Magaslati út"," Pécs","54 m² terület","2 szoba","2 m² erkély"
"1684","Új építésű",NA,NA,"401 665 Ft/hó",NA,"Szalag utca"," I. kerület","55 m² terület","2 szoba","6 m² erkély"
"1685",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Kodály Zoltán utca 11, Pécs",NA,NA
"1686",NA,NA,NA,"150 000 Ft/hó",NA,"Csever utca"," Tata","55 m² terület","2 + 1 fél szoba",NA
"1687",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Szeder utca 23, Göd",NA,NA
"1688",NA,NA,NA,"100 000 Ft/hó",NA,"Kmety György utca"," VI. kerület","30 m² terület","1 szoba",NA
"1689",NA,NA,NA,"100 000 Ft/hó",NA,"Haraszt utca"," XI. kerület","35 m² terület","1 szoba",NA
"1690",NA,NA,NA,"129 000 Ft/hó",NA,"József Attila sugárút 142/A"," Szeged","47 m² terület","1 + 1 fél szoba","3 m² erkély"
"1691","Új építésű",NA,NA,"200 000 Ft/hó",NA,"Csanády utca"," XIII. kerület","47 m² terület","2 szoba","4 m² erkély"
"1692",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","75 000 Ft/hó",NA,"Alföldi utca 22, Szeged",NA,NA
"1693",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Kispesti utca, XVIII. kerület",NA,NA
"1694",NA,NA,NA,"912 875 Ft/hó",NA,"Október 6. utca"," V. kerület","122 m² terület","3 szoba",NA
"1695",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","200 000 Ft/hó",NA,"Víg utca 18., VIII. kerület",NA,NA
"1696",NA,NA,NA,"159 000 Ft/hó",NA,"Orczy tér"," VIII. kerület","50 m² terület","1 + 1 fél szoba",NA
"1697","Csak szoba",NA,NA,"50 000 Ft/hó",NA,"Feketesas utca 25"," Szeged","20 m² terület","4 szoba",NA
"1698",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","560 000 Ft/hó",NA,"Karabély utca, II. kerület",NA,NA
"1699",NA,NA,NA,"365 150 Ft/hó",NA,"Váci utca"," V. kerület","96 m² terület","2 + 1 fél szoba",NA
"1700",NA,NA,NA,"150 000 Ft/hó",NA,"Rozetti Lázár diák utca"," Esztergom","55 m² terület","1 szoba","2 m² erkély"
"1701",NA,NA,NA,"220 000 Ft/hó",NA,"Feketesas utca 28"," Szeged","79 m² terület","2 szoba",NA
"1702",NA,NA,NA,"130 000 Ft/hó",NA,"Nyíregyháza"," Belváros","76 m² terület","3 szoba","4 m² erkély"
"1703",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","118 000 Ft/hó",NA,"Holub József utca, Szekszárd",NA,NA
"1704",NA,NA,NA,"310 000 Ft/hó",NA,"Frankel Leó út"," II. kerület","130 m² terület","3 + 1 fél szoba",NA
"1705",NA,NA,NA,"105 000 Ft/hó",NA,"Orbán Balázs út"," III. kerület","27 m² terület","1 szoba","2 m² erkély"
"1706","Új építésű",NA,NA,"180 000 Ft/hó",NA,"Szinyei Merse utca"," VI. kerület","55 m² terület","2 szoba","4 m² erkély"
"1707",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Gogol utca, XIII. kerület",NA,NA
"1708",NA,NA,NA,"129 000 Ft/hó",NA,"Holló utca"," Szeged","36 m² terület","1 + 1 fél szoba",NA
"1709",NA,NA,NA,"365 150 Ft/hó",NA,"Zoltán utca"," V. kerület","95 m² terület","2 szoba",NA
"1710","Csak szoba",NA,NA,"90 000 Ft/hó",NA,"Péterfy Sándor utca 15"," VII. kerület","19 m² terület","1 szoba","4 m² erkély"
"1711",NA,NA,NA,"270 000 Ft/hó",NA,"Nagymező utca"," VI. kerület","80 m² terület","3 + 1 fél szoba",NA
"1712",NA,NA,NA,"200 833 Ft/hó",NA,"Dob utca 61"," VII. kerület","77 m² terület","3 szoba",NA
"1713","Új építésű",NA,NA,"794 000 Ft/hó",NA,"Paulay Ede utca"," VI. kerület","120 m² terület","4 szoba",NA
"1714",NA,NA,NA,"361 000 Ft/hó",NA,"Hollán Ernő utca"," XIII. kerület","100 m² terület","3 szoba",NA
"1715",NA,NA,NA,"803 330 Ft/hó",NA,"Donáti utca"," I. kerület","119 m² terület","4 szoba","5 m² erkély"
"1716",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Béke út, Sopron",NA,NA
"1717",NA,NA,NA,"511 210 Ft/hó",NA,"Lechner Ödön fasor"," IX. kerület","100 m² terület","3 szoba","10 m² erkély"
"1718",NA,NA,NA,"100 000 Ft/hó",NA,"Mikszáth Kálmán utca"," Debrecen","55 m² terület","2 szoba","3 m² erkély"
"1719",NA,NA,NA,"96 000 Ft/hó",NA,"Reiter köz"," Dunaföldvár","70 m² terület","3 szoba",NA
"1720",NA,NA,NA,"2 738 625 Ft/hó",NA,"Alkotmány utca"," V. kerület","196 m² terület","4 szoba",NA
"1721","Új építésű",NA,NA,"140 000 Ft/hó",NA,"József Attila utca"," Pécs","54 m² terület","3 szoba","7 m² erkély"
"1722",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","240 000 Ft/hó",NA,"Kárókatona utca 3, Üröm",NA,NA
"1723","Régen frissült",NA,NA,"438 180 Ft/hó",NA,"Ráday utca 16"," IX. kerület","90 m² terület","4 szoba",NA
"1724",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Liliom utca, Gyenesdiás",NA,NA
"1725",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Irányi utca, Békéscsaba",NA,NA
"1726",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Mátyás király út, Kazincbarcika",NA,NA
"1727",NA,NA,NA,"85 000 Ft/hó",NA,"Kartács utca"," XIII. kerület","36 m² terület","1 szoba",NA
"1728",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","105 000 Ft/hó",NA,"Toldi utca, Nyíregyháza",NA,NA
"1729",NA,NA,NA,"290 000 Ft/hó",NA,"Teréz körút"," VI. kerület","108 m² terület","3 szoba",NA
"1730",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Népszínház utca, VIII. kerület",NA,NA
"1731",NA,NA,NA,"80 000 Ft/hó",NA,"Iskola utca"," Eger","30 m² terület","1 szoba",NA
"1732",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","250 000 Ft/hó",NA,"Kecskeméti utca, V. kerület",NA,NA
"1733",NA,NA,NA,"110 000 Ft/hó",NA,"Must utca"," XIV. kerület","26 m² terület","1 szoba",NA
"1734",NA,NA,NA,"390 000 Ft/hó",NA,"Andrássy út 68"," VI. kerület","66 m² terület","2 szoba","8 m² erkély"
"1735",NA,NA,NA,"547 725 Ft/hó",NA,"Kossuth Lajos utca"," V. kerület","125 m² terület","4 szoba",NA
"1736",NA,NA,NA,"140 000 Ft/hó",NA,"Vág utca"," XIII. kerület","35 m² terület","1 + 1 fél szoba",NA
"1737",NA,NA,NA,"180 000 Ft/hó",NA,"Károly körút"," V. kerület","37 m² terület","1 szoba",NA
"1738",NA,NA,NA,"130 000 Ft/hó",NA,"Karinthy Frigyes út"," XI. kerület","43 m² terület","2 szoba","1 m² erkély"
"1739","Csak szoba",NA,NA,"37 000 Ft/hó",NA,"Ipar utca"," Győr","14 m² terület","1 + 1 fél szoba",NA
"1740",NA,NA,NA,"650 000 Ft/hó",NA,"Havas utca"," V. kerület","140 m² terület","4 szoba",NA
"1741",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Leányka utca, XXII. kerület",NA,NA
"1742",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","270 000 Ft/hó",NA,"Szilágyi Erzsébet fasor 34, XII. kerület",NA,NA
"1743",NA,NA,NA,"260 000 Ft/hó",NA,"Üllői út"," IX. kerület","90 m² terület","3 szoba",NA
"1744",NA,NA,NA,"145 000 Ft/hó",NA,"Május 1. út"," Tata","50 m² terület","2 szoba",NA
"1745",NA,NA,NA,"110 000 Ft/hó",NA,"Dózsa György utca"," Oroszlány","39 m² terület","1 + 1 fél szoba",NA
"1746",NA,NA,NA,"818 000 Ft/hó",NA,"Belváros"," V. kerület","93 m² terület","3 szoba",NA
"1747",NA,NA,NA,"250 000 Ft/hó",NA,"Benczúr utca 8"," VI. kerület","105 m² terület","3 szoba",NA
"1748","Új építésű",NA,NA,"300 000 Ft/hó",NA,"Siófok"," Ezüstpart","70 m² terület","3 szoba","15 m² erkély"
"1749",NA,NA,NA,"467 392 Ft/hó",NA,"Víziváros - Váralja"," I. kerület","70 m² terület","3 szoba",NA
"1750",NA,NA,NA,"120 000 Ft/hó",NA,"Beregszász utca 7"," XVIII. kerület","27 m² terület","1 szoba",NA
"1751",NA,NA,NA,"160 000 Ft/hó",NA,"Üllői út"," IX. kerület","72 m² terület","2 szoba",NA
"1752","Régen frissült",NA,NA,"315 000 Ft/hó",NA,"Lipótváros"," V. kerület","71 m² terület","2 + 1 fél szoba",NA
"1753",NA,NA,NA,"100 000 Ft/hó",NA,"Gömb utca 7."," XIII. kerület","28 m² terület","1 szoba",NA
"1754",NA,NA,NA,"1 241 510 Ft/hó",NA,"Számadó utca"," XI. kerület","197 m² terület","5 szoba",NA
"1755",NA,NA,NA,"80 000 Ft/hó",NA,"Gyöngyösi út"," Jászberény","33 m² terület","2 szoba",NA
"1756",NA,NA,NA,"584 240 Ft/hó",NA,"Andrássy út"," VI. kerület","100 m² terület","1 szoba","5 m² erkély"
"1757",NA,NA,NA,"730 300 Ft/hó",NA,"Podmaniczky utca"," VI. kerület","98 m² terület","2 + 1 fél szoba",NA
"1758",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","70 000 Ft/hó",NA,"Ady Endre utca, Orosháza",NA,NA
"1759",NA,NA,NA,"858 103 Ft/hó",NA,"Belváros"," V. kerület","165 m² terület","3 szoba",NA
"1760",NA,NA,NA,"150 000 Ft/hó",NA,"Szőlő utca"," III. kerület","48 m² terület","2 szoba","4 m² erkély"
"1761","Csak szoba",NA,NA,"85 000 Ft/hó",NA,"Szigony utca"," VIII. kerület","12 m² terület","1 szoba",NA
"1762",NA,NA,NA,"125 000 Ft/hó",NA,"Ráskay Lea utca"," XIV. kerület","70 m² terület","3 szoba",NA
"1763",NA,NA,NA,"839 845 Ft/hó",NA,"Törökvész út"," II. kerület","134 m² terület","4 szoba","20 m² erkély"
"1764",NA,NA,NA,"70 000 Ft/hó",NA,"Velemi út"," Kőszeg","30 m² terület","1 szoba",NA
"1765",NA,NA,NA,"346 893 Ft/hó",NA,"Maros utca"," XII. kerület","80 m² terület","3 szoba",NA
"1766",NA,NA,NA,"730 300 Ft/hó",NA,"Dolgos utca"," XII. kerület","105 m² terület","4 szoba","5 m² erkély"
"1767","Új építésű",NA,NA,"1 020 229 Ft/hó",NA,"Víziváros - Váralja"," I. kerület","119 m² terület","4 szoba","5 m² erkély"
"1768",NA,NA,NA,"89 000 Ft/hó",NA,"Győr"," Nádorváros","45 m² terület","0 + 2 fél szoba",NA
"1769",NA,NA,NA,"730 300 Ft/hó",NA,"Zöldkő utca"," II. kerület","120 m² terület","4 szoba","15 m² erkély"
"1770",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","450 000 Ft/hó",NA,"Endrődi Sándor utca, II. kerület",NA,NA
"1771",NA,NA,NA,"730 300 Ft/hó",NA,"Pozsonyi út"," XIII. kerület","103 m² terület","2 szoba","12 m² erkély"
"1772",NA,NA,NA,"839 845 Ft/hó",NA,"Pasarét"," II. kerület","220 m² terület","4 szoba","5 m² erkély"
"1773",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","275 000 Ft/hó",NA,"Pünkösdfürdő utca, III. kerület",NA,NA
"1774",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Széchenyi utca, Budakeszi",NA,NA
"1775","Új építésű",NA,NA,"100 000 Ft/hó",NA,"Kakukkfű utca"," Szigetszentmiklós","35 m² terület","1 + 1 fél szoba",NA
"1776","Új építésű",NA,NA,"985 905 Ft/hó",NA,"Király utca 40."," VI. kerület","90 m² terület","3 szoba","50 m² erkély"
"1777",NA,NA,NA,"328 635 Ft/hó",NA,"Várkert rakpart"," I. kerület","50 m² terület","2 szoba",NA
"1778",NA,NA,NA,"419 923 Ft/hó",NA,"Eötvös utca 33"," VI. kerület","95 m² terület","4 szoba",NA
"1779",NA,NA,NA,"185 000 Ft/hó",NA,"Pannónia utca 10"," XIII. kerület","68 m² terület","2 szoba","2 m² erkély"
"1780",NA,NA,NA,"64 000 Ft/hó",NA,"Győr"," Szabadhegy","25 m² terület","1 + 1 fél szoba",NA
"1781",NA,NA,NA,"120 000 Ft/hó",NA,"Napfény utca"," Szigetszentmiklós","44 m² terület","2 szoba","6 m² erkély"
"1782","Csak szoba",NA,NA,"70 000 Ft/hó",NA,"Bajcsy-Zsilinszky út"," V. kerület","20 m² terület","1 szoba",NA
"1783","Csak szoba",NA,NA,"85 000 Ft/hó",NA,"Mária utca 56"," VIII. kerület","15 m² terület","1 szoba","8 m² erkély"
"1784","Csak szoba",NA,NA,"65 000 Ft/hó",NA,"Mária utca"," Pilisvörösvár","26 m² terület","1 szoba","20 m² erkély"
"1785",NA,NA,NA,"240 000 Ft/hó",NA,"Marek József utca"," VII. kerület","62 m² terület","3 szoba","12 m² erkély"
"1786",NA,NA,NA,"200 833 Ft/hó",NA,"Sopron"," Aranyhegy","81 m² terület","3 szoba","10 m² erkély"
